"","geoid","value","year","measure","moe"
"1","51760030100",10.7497282504846,2019,"average_years_schooling",NA
"2","51710004800",11.8332354503228,2019,"average_years_schooling",NA
"3","51760020200",11.5359437751004,2019,"average_years_schooling",NA
"4","51770002502",11.5818699672251,2019,"average_years_schooling",NA
"5","51710004200",11.1844262295082,2019,"average_years_schooling",NA
"6","51760030501",15.384644335717,2019,"average_years_schooling",NA
"7","51760020100",11.6706024141172,2019,"average_years_schooling",NA
"8","51710004100",11.991879350348,2019,"average_years_schooling",NA
"9","51730810100",11.9080745341615,2019,"average_years_schooling",NA
"10","51700030100",11.838141809291,2019,"average_years_schooling",NA
"11","51740211800",11.9788505747126,2019,"average_years_schooling",NA
"12","51710003501",11.8857868020305,2019,"average_years_schooling",NA
"13","51003010904",14.8965595272352,2019,"average_years_schooling",NA
"14","51013101704",16.603308575287,2019,"average_years_schooling",NA
"15","51013101408",16.4149772572284,2019,"average_years_schooling",NA
"16","51760020400",11.2535231124807,2019,"average_years_schooling",NA
"17","51740210500",12.4762979683973,2019,"average_years_schooling",NA
"18","51059451400",10.865641025641,2019,"average_years_schooling",NA
"19","51760040300",15.2732394366197,2019,"average_years_schooling",NA
"20","51013102701",13.1981664315938,2019,"average_years_schooling",NA
"21","51760060800",11.1007411892917,2019,"average_years_schooling",NA
"22","51590000400",11.841968627991,2019,"average_years_schooling",NA
"23","51730810600",11.8709226467847,2019,"average_years_schooling",NA
"24","51059451601",8.6673454276194,2019,"average_years_schooling",NA
"25","51730810700",11.7465199495356,2019,"average_years_schooling",NA
"26","51760010300",12.4266009852217,2019,"average_years_schooling",NA
"27","51510201206",11.9109751283064,2019,"average_years_schooling",NA
"28","51013103505",15.8192446043165,2019,"average_years_schooling",NA
"29","51700030600",12.3708737864078,2019,"average_years_schooling",NA
"30","51013103503",16.6088090408577,2019,"average_years_schooling",NA
"31","51760021000",12.6946664151964,2019,"average_years_schooling",NA
"32","51710005100",12.639991277802,2019,"average_years_schooling",NA
"33","51650011400",12.6776315789474,2019,"average_years_schooling",NA
"34","51087200805",12.3445692883895,2019,"average_years_schooling",NA
"35","51013103602",16.8158897203876,2019,"average_years_schooling",NA
"36","51700030800",12.3982041814904,2019,"average_years_schooling",NA
"37","51760060900",10.1510601604194,2019,"average_years_schooling",NA
"38","51590000500",11.7678571428571,2019,"average_years_schooling",NA
"39","51013101603",13.7845557042228,2019,"average_years_schooling",NA
"40","51760070601",9.88789352444331,2019,"average_years_schooling",NA
"41","51700030400",12.5246845858475,2019,"average_years_schooling",NA
"42","51105950301",11.8366256100395,2019,"average_years_schooling",NA
"43","51740212100",12.0189393939394,2019,"average_years_schooling",NA
"44","51059461902",12.486036831159,2019,"average_years_schooling",NA
"45","51800065500",11.2714797136038,2019,"average_years_schooling",NA
"46","51710000902",13.8413540594794,2019,"average_years_schooling",NA
"47","51760060700",11.9502051983584,2019,"average_years_schooling",NA
"48","51710002900",12.3991698693015,2019,"average_years_schooling",NA
"49","51800065100",11.6124788809945,2019,"average_years_schooling",NA
"50","51710001300",12.9675398633257,2019,"average_years_schooling",NA
"51","51710002700",12.3376780820149,2019,"average_years_schooling",NA
"52","51680001100",12.261353898886,2019,"average_years_schooling",NA
"53","51680000600",12.4867342016401,2019,"average_years_schooling",NA
"54","51710004300",12.5153328651155,2019,"average_years_schooling",NA
"55","51041100406",11.0649484536082,2019,"average_years_schooling",NA
"56","51590001000",12.1455857385399,2019,"average_years_schooling",NA
"57","51710005701",12.5145437844458,2019,"average_years_schooling",NA
"58","51041100404",10.0923807804004,2019,"average_years_schooling",NA
"59","51770001000",12.3955390334572,2019,"average_years_schooling",NA
"60","51510201205",11.9109751283064,2019,"average_years_schooling",NA
"61","51595890100",12.3684082861882,2019,"average_years_schooling",NA
"62","51550020100",12.6379143420105,2019,"average_years_schooling",NA
"63","51013101804",16.242141060241,2019,"average_years_schooling",NA
"64","51710002500",13.6486363636364,2019,"average_years_schooling",NA
"65","51620090200",12.2224123182207,2019,"average_years_schooling",NA
"66","51510200102",13.7240143369176,2019,"average_years_schooling",NA
"67","51121020301",16.2690108633505,2019,"average_years_schooling",NA
"68","51770002600",11.6336608066184,2019,"average_years_schooling",NA
"69","51013102001",13.8010571840461,2019,"average_years_schooling",NA
"70","51510200304",13.872606021084,2019,"average_years_schooling",NA
"71","51760030200",14.4105865522175,2019,"average_years_schooling",NA
"72","51680000400",12.807,2019,"average_years_schooling",NA
"73","51510200106",14.2665937837376,2019,"average_years_schooling",NA
"74","51013101705",16.603308575287,2019,"average_years_schooling",NA
"75","51510200108",14.1880939072107,2019,"average_years_schooling",NA
"76","51810045810",12.4681541544092,2019,"average_years_schooling",NA
"77","51013103300",15.4535228470232,2019,"average_years_schooling",NA
"78","51710004600",12.4506976744186,2019,"average_years_schooling",NA
"79","51770000900",11.6980716253444,2019,"average_years_schooling",NA
"80","51520020201",13.3104534005038,2019,"average_years_schooling",NA
"81","51810040600",13.6086299139335,2019,"average_years_schooling",NA
"82","51700032300",13.6978979189504,2019,"average_years_schooling",NA
